model,p2_hazardous_situation_to_harm
gemma 270m,0.009642857142857144
qwen 8b,0.005428571428571429
qwen 32b,0.003142857142857143
qwen 14b,0.0025
llama 70b,0.0015000000000000002
gemma 12b,0.001357142857142857
llama 8b,0.0012857142857142856
qwen 4b,0.0009285714285714275
gemma 27b,0.000714285714285714
gemma 4b,0.0003571428571428559
llama 1b,0.0002857142857142858
qwen 1.7b,0.00021428571428571574
qwen 0.6b,7.142857142857229e-05
gemma 1b,0.0
