model,p1_hazard_to_hazardous_situation
gemma 270m,0.000255665982905983
llama 1b,0.00011347179487179489
qwen 0.6b,6.186666666666668e-05
gemma 1b,1.7905641025641028e-05
llama 8b,1.2194871794871792e-05
qwen 1.7b,1.1867692307692307e-05
qwen 8b,1.0440000000000007e-05
gemma 4b,8.42735042735041e-06
llama 70b,3.519658119658143e-06
qwen 4b,7.138461538461463e-07
gemma 12b,2.0820512820512935e-07
gemma 27b,1.9829059829059766e-08
qwen 14b,1.9829059829059766e-08
qwen 32b,0.0
